time (s),contrast
43.68,0.00554277669519343
43.7,0.003916174055530797
43.7,0.003427894106137419
43.7,0.004369204984270403
43.72,0.0048399411534564285
43.72,0.004336272246385442
43.72,0.003880089114001617
43.74,0.004093536620110583
43.76,0.004271399618269167
43.82,0.003988496713568823
43.84,0.0050248656992532
43.84,0.004294832693637618
43.88,0.0029695883103280085
43.94,0.004183683634907176
43.94,0.004091903620526027
43.94,0.004032100030431751
44.0,0.0038859344655102213
44.02,0.003664243973341197
44.14,0.0039795717512611795
44.14,0.004743449404949196
44.14,0.003455658812905993
44.16,0.003728501414052454
44.16,0.0047543672075134324
44.18,0.0057024931749668495
44.24,0.003995029635056824
44.24,0.004029574763593224
44.36,0.004052303282996772
44.4,0.008044806710993169
44.4,0.00460606650556683
44.4,0.0038688663962566094
44.46,0.003806575432381165
44.48,0.003942662311585576
44.48,0.0037006828351947574
44.5,0.003908286503759961
44.52,0.004586703339833242
44.52,0.003121860605742599
44.62,0.00453444105404599
44.66,0.003655838433574421
44.66,0.003836142802720821
44.7,0.003486950207425177
44.72,0.0032641697594861796
44.72,0.004058773154605233
44.76,0.004447025084139966
44.8,0.004654506967070815
44.82,0.00407799484390603
44.84,0.004066328444698564
44.84,0.0032820052872452044
44.86,0.004774173572148377
44.88,0.004568661405941032
44.9,0.004422520335337632
44.92,0.00398639374392562
44.92,0.003940542929177782
44.94,0.0028270370393046473
45.04,0.0040634978619156215
45.06,0.00415533580627836
45.1,0.008341033601903969
45.12,0.004255381067888031
45.12,0.007626316366157848
45.14,0.003393294138329006
45.16,0.0040131940415107925
45.28,0.0034836405943552418
45.3,0.005154203253231238
45.3,0.004509174601888599
45.34,0.003777102132065391
45.36,0.004337077098292008
45.38,0.004210145387975817
45.48,0.0033811056765350456
45.52,0.003213756737904805
45.54,0.003898146946498371
45.56,0.0039255319606895656
45.64,0.003713843271962558
45.7,0.004134144878710444
45.72,0.005241139412507589
45.78,0.003745847819983994
45.82,0.00448847678642883
45.82,0.0037978593985471543
45.84,0.0031102631549652093
45.84,0.004280485418424185
45.88,0.0041568967898264475
45.9,0.003830832459944755
45.92,0.004106244393049185
45.94,0.0031675851390560172
45.96,0.005336693378912405
46.02,0.0038044517765853936
46.04,0.004057321422367255
46.06,0.0035657607149501835
46.06,0.0036687755249039666
46.12,0.0031311443097844505
46.2,0.004338695021080752
46.22,0.004659087424205177
46.22,0.0037136697261007656
46.26,0.00470913793940364
46.28,0.003999900092885977
46.34,0.004345785671082347
46.4,0.0039200155322366426
46.4,0.004028197463134431
46.5,0.004106323292906389
46.5,0.007731222344678046
46.52,0.0040147300747858106
46.52,0.003946855267330851
46.54,0.0038601407905182183
46.6,0.005561184531168828
46.62,0.003880449622604032
46.66,0.0038083222840461506
46.68,0.0047752409462592516
46.68,0.00419370236681238
46.7,0.004462707278670375
46.74,0.006905479685211602
46.74,0.0033343801799717854
46.76,0.004321709090537418
46.78,0.00480222160000765
46.8,0.004291511576269946
46.8,0.0027245212203902414
46.82,0.0035617061723504095
46.86,0.0033221389411629554
46.88,0.008881995489976369
46.9,0.004038599382873986
47.0,0.0037986604158336545
47.04,0.0037252342841651576
47.06,0.0034021073287644477
47.1,0.004344913868434386
47.1,0.003748884794580354
47.1,0.003858906152926833
47.12,0.0036361585161708287
47.14,0.0035175186666291935
47.18,0.002306750627957599
47.24,0.0033602547152592477
47.26,0.004342350706336373
47.28,0.004404498371744836
47.3,0.0035969369585580058
47.3,0.003337545235625572
47.32,0.0038805510046313607
47.38,0.0035232642549020143
47.46,0.0034017433573699796
47.48,0.00411901783997759
47.48,0.003575869331920778
47.54,0.004852807295923189
47.54,0.003055995206752371
47.6,0.004210857541284807
47.6,0.004982485658081792
47.62,0.004275805590391202
47.66,0.007446041487148003
47.68,0.004375423504049625
47.7,0.00399730893023198
47.7,0.003977758212238558
47.7,0.004021743249394416
47.72,0.0042396276737159955
47.74,0.003697546225945647
47.76,0.0035582357679627696
47.78,0.003546786911696409
47.82,0.003395553930702788
47.84,0.003084037868041234
47.9,0.005898027787672011
47.9,0.0040491406937192
47.94,0.00665492883325558
47.96,0.00462226857124437
47.96,0.004169581588567173
47.98,0.004738729245802431
48.02,0.004173732162993216
48.08,0.007678268409819222
48.12,0.0038426202275976262
48.16,0.0042408710045481746
48.16,0.0036551416250132363
48.16,0.003777787369513841
48.24,0.00327350084838518
48.26,0.003910327441960404
48.28,0.004380030639319243
